			Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files										
	EXAMPLE		9-Sep	30-Aug	E. coli + pETase	LB + IPTG + Amp.	Agar	++++	3	35°C Incubator	Streak inoculation loop	Subculturing E. coli	Incubating	Re-culture on the 25/09											
																	Morphology								
Isolate # :	ID:	Group #	Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files	Isolate number 	Size ~mm	Shape	Elevation	Edge/margin	Colour	Surface	Opacity centre	Opacity outer	Observations
1	Marine 31.33g/L salt ES M-1.2um-10^-0 ISO #1.7	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			1	2	circular	convex	erose	cream	wet	opaque	-	
2	Marine 31.33g/L salt ES M-1.2um-10^-0 ISO #2.6	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			2	0.5-1	circular	convex	entire	white	wet	opaque	-	
3	Marine 31.33g/L salt ES M-1.2um-10^-0 ISO #3.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			3	4-5	circular	convex	erose	cream	wet	opaque	-	
4	Marine 31.33g/L salt ES M-1.2um-10^-0 ISO #4.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			4	5-7	circular	convex	erose	cream	wet	opaque	-	
5	Marine 31.33g/L salt ES M-1.2um-10^-0 ISO #5.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			5	2	circular	convex	erose	white	wet	opaque	-	2 colony types? 
6	Nutrient 15g/L salt ES M-1.2um-10^-1 ISO #6.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			6									
7	Nutrient 15g/L salt ES M-1.2um-10^-1 ISO #7.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			7	4-8	irregular	flat	lobate	cream	wet	translucent		Maggot contamination?
8	R2A 15g/L salt ES M-1.2um-10^-1 ISO #8.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	R2A 	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			8	2-4	circular	convex	erose	cream	wet	opaque	-	transparent outer
9	R2A 15g/L salt ES M-1.2um-10^-1 ISO #9.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			9	1	circular	convex	smooth/filamentous	cream	wet	opaque		Maggot contamination? Rhizoid film over the top of colonies. Transparent waves
10	R2A 15g/L salt ES M-1.2um-10^-0 ISO #10.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			10	1	circular	convex	smooth/waves	cream	wet	opaque		Maggot contamination? Film over the top of colonies. Transparent waves
11	R2A 15g/L salt ES M-1.2um-10^-0 ISO #11.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			11	2-4	circular	umbonate	entire	cream	wet	opaque	-	contaminated from other plate? transparent outer
12	TSA 31.33g/L salt ES M-1.2um-10^-0 ISO #12.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			12	7-10	circular	flat	erose	cream	wet	opaque	-	faint brown dot in middle
13	TSA 31.33g/L salt ES M-1.2um-10^-0 ISO #13.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			13	6	circular	flat	erose	cream	wet	opaque	-	
14	Nutrient 31.33g/L salt ES M-1.2um-10^-0 ISO #14.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			14	1-2	circular	flat	entire/undulate	cream	wet	translucent	-	ring around middle
15	Nutrient 31.33g/L salt ES M-1.2um-10^-0 ISO #15.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			15	3-5	circular	convex	undulate	cream	wet	opaque	-	brownish centre
16	R2A 31.33g/L salt ES M-1.2um-10^-0 ISO #16.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			16	4-7	circular	flat	undulate	cream	wet	opaque	-	in larger ones, faint brown dot
17	R2A 31.33g/L salt ES M-1.2um-10^-0 ISO #17.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			17	1-2	circular	convex	entire/undulate	white	wet	opaque	-	contaminated from other plate?
18	Nutrient 15g/L salt ES M-1.2um-10^-0 ISO #18.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			18									
19	Nutrient 15g/L salt ES M-1.2um-10^-0 ISO #19.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			19									
20	TSA 15g/L salt ES M-1.2um-10^-0 ISO #20.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			20	5-6	irregular	umbonate	erose	cream	granular/rough	opaque	-	smooth middle
21	TSA 15g/L salt ES M-1.2um-10^-0 ISO #21.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			21									
22	TSA 0g/L salt ES M-1.2um-10^-0 ISO #22.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			22	4-5	circular	flat	erose	cream	granular/rough	opaque	-	
23	TSA 0g/L salt ES M-1.2um-10^-0 ISO #23.4	Group 1	19/04/22	19/04/22	Marine water 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			23									
