contig_ID	vibrant_contig_ID	vibrant_total_genes	vibrant_KEGG_genes	vibrant_KEGG_v_score	vibrant_Pfam_genes	vibrant_Pfam_v_score	vibrant_VOG_genes	vibrant_VOG_v_score	vsort2_contig_ID	vsort2_max_score	vsort2_max_score_group	vsort2_hallmark_genes	vsort2_viral_component	vsort2_cellular_component	checkv_contig_id	checkv_contig_length	checkv_provirus	checkv_proviral_length	checkv_gene_count	checkv_viral_genes	checkv_host_genes	checkv_checkv_quality	checkv_miuvig_quality	checkv_completeness	checkv_completeness_method	checkv_contamination	checkv_kmer_freq	checkv_warnings
Sample_16_contig_1_fragment_1	Sample_16_contig_1_fragment_1	15.0	2.0	2.88	3.0	11.65	5.0	27.130000000000003							Sample_16_contig_1_fragment_1	11373.0	No		15.0	2.0	1.0	Low-quality	Genome-fragment	7.79	HMM-based (lower-bound)	0.0	1.0	
Sample_16_contig_1_fragment_2	Sample_16_contig_1_fragment_2	32.0	7.0	9.67	14.0	20.680000000000003	15.0	51.279999999999994							Sample_16_contig_1_fragment_2	31786.0	Yes	24358.0	33.0	7.0	2.0	Medium-quality	Genome-fragment	57.19	AAI-based (high-confidence)	23.37	1.0	
Sample_16_contig_1_fragment_5	Sample_16_contig_1_fragment_5	73.0	8.0	18.28	28.0	33.669999999999995	56.0	150.39							Sample_16_contig_1_fragment_5	49310.0	No		73.0	50.0	1.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_16_contig_1_fragment_7	Sample_16_contig_1_fragment_7	61.0	7.0	13.7	22.0	30.320000000000004	44.0	164.83999999999995							Sample_16_contig_1_fragment_7	39699.0	No		61.0	44.0	0.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Sample_16_contig_1_fragment_8	Sample_16_contig_1_fragment_8	62.0	11.0	16.38	33.0	28.3	49.0	128.92000000000002							Sample_16_contig_1_fragment_8	44558.0	No		62.0	41.0	0.0	High-quality	High-quality	98.52	AAI-based (high-confidence)	0.0	1.0	
Sample_16_contig_1_fragment_14	Sample_16_contig_1_fragment_14	11.0	4.0	5.51	4.0	7.390000000000001	7.0	17.88							Sample_16_contig_1_fragment_14	10148.0	No		10.0	3.0	0.0	Low-quality	Genome-fragment	21.38	AAI-based (high-confidence)	0.0	1.0	
Sample_16_contig_1_fragment_18	Sample_16_contig_1_fragment_18	49.0	13.0	27.47	35.0	58.809999999999995	35.0	152.18000000000004							Sample_16_contig_1_fragment_18	40565.0	Yes	33720.0	49.0	30.0	2.0	High-quality	High-quality	95.88	AAI-based (high-confidence)	16.87	1.0	
Sample_2_contig_3	Sample_2_contig_3	77.0	3.0	3.01	11.0	15.32	30.0	55.68	Sample_2_contig_3||full	1.0	dsDNAphage	4.0	44.2	2.6	Sample_2_contig_3	58963.0	No		77.0	26.0	0.0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
Sample_38_contig_133	Sample_38_contig_133	5.0	3.0	1.5799999999999998	3.0	1.34	4.0	9.71							Sample_38_contig_133	2508.0	No		5.0	2.0	0.0	Low-quality	Genome-fragment	5.29	AAI-based (medium-confidence)	0.0	1.0	
Sample_19_contig_42_fragment_2	Sample_19_contig_42_fragment_2	51.0	3.0	10.03	22.0	34.21000000000001	25.0	72.54							Sample_19_contig_42_fragment_2	35175.0	No		51.0	19.0	1.0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
Sample_55_contig_4_fragment_5	Sample_55_contig_4_fragment_5	64.0	13.0	14.57	20.0	22.619999999999997	23.0	108.44000000000004							Sample_55_contig_4_fragment_5	55766.0	Yes	46577.0	66.0	18.0	4.0	Medium-quality	Genome-fragment	65.76	HMM-based (lower-bound)	16.48	1.0	
Sample_55_contig_4_fragment_11	Sample_55_contig_4_fragment_11	67.0	6.0	7.659999999999999	15.0	24.65	27.0	114.67000000000004							Sample_55_contig_4_fragment_11	41120.0	No		67.0	26.0	0.0	Medium-quality	Genome-fragment	86.2	AAI-based (high-confidence)	0.0	1.0	
Sample_20_contig_1_fragment_39	Sample_20_contig_1_fragment_39	47.0	3.0	10.03	23.0	36.41	25.0	72.51							Sample_20_contig_1_fragment_39	35172.0	No		47.0	18.0	1.0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
Sample_53_contig_1_fragment_1	Sample_53_contig_1_fragment_1	39.0	6.0	7.890000000000001	9.0	11.7	20.0	55.15							Sample_53_contig_1_fragment_1	35644.0	Yes	29413.0	40.0	12.0	2.0	Medium-quality	Genome-fragment	73.01	AAI-based (high-confidence)	17.48	1.0	
Sample_43_contig_1_fragment_6	Sample_43_contig_1_fragment_6	65.0	14.0	14.72	21.0	23.97	24.0	108.86000000000004							Sample_43_contig_1_fragment_6	55769.0	Yes	46577.0	68.0	18.0	4.0	Medium-quality	Genome-fragment	65.76	HMM-based (lower-bound)	16.48	1.0	
Sample_43_contig_1_fragment_10	Sample_43_contig_1_fragment_10	68.0	6.0	7.659999999999999	15.0	24.65	27.0	114.67000000000004							Sample_43_contig_1_fragment_10	40799.0	No		68.0	27.0	0.0	Medium-quality	Genome-fragment	85.54	AAI-based (high-confidence)	0.0	1.0	
Sample_43_contig_1_fragment_21	Sample_43_contig_1_fragment_21	44.0	9.0	8.59	19.0	16.4	17.0	23.28							Sample_43_contig_1_fragment_21	33635.0	Yes	28873.0	51.0	9.0	2.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	14.16	1.0	contig >1.5x longer than expected genome length
Sample_43_contig_1_fragment_27	Sample_43_contig_1_fragment_27	50.0	11.0	15.73	11.0	19.58	23.0	73.39							Sample_43_contig_1_fragment_27	46210.0	Yes	41299.0	53.0	17.0	4.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	10.63	1.0	
Sample_43_contig_1_fragment_32	Sample_43_contig_1_fragment_32	63.0	18.0	22.78	20.0	22.6	30.0	101.90000000000002							Sample_43_contig_1_fragment_32	55645.0	Yes	38875.0	67.0	17.0	8.0	High-quality	High-quality	96.5	AAI-based (high-confidence)	30.14	1.0	
Sample_26_contig_152_fragment_1	Sample_26_contig_152_fragment_1	8.0	1.0	2.36	1.0	1.65	2.0	9.14							Sample_26_contig_152_fragment_1	5129.0	No		11.0	0.0	0.0	Not-determined	Genome-fragment			0.0	1.0	no viral genes detected
Sample_5_contig_1_fragment_6	Sample_5_contig_1_fragment_6	42.0	5.0	10.38	26.0	43.98	32.0	84.0							Sample_5_contig_1_fragment_6	31911.0	No		42.0	21.0	0.0	High-quality	High-quality	99.81	AAI-based (medium-confidence)	0.0	1.0	
Sample_5_contig_1_fragment_8	Sample_5_contig_1_fragment_8	16.0	3.0	10.39	4.0	11.65	5.0	38.81							Sample_5_contig_1_fragment_8	15258.0	No		17.0	2.0	0.0	Low-quality	Genome-fragment	10.21	HMM-based (lower-bound)	0.0	1.0	
Sample_53_contig_6	Sample_53_contig_6	36.0	4.0	3.68	6.0	2.3699999999999997	12.0	11.77							Sample_53_contig_6	17384.0	No		36.0	3.0	0.0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
Sample_45_contig_3_fragment_12	Sample_45_contig_3_fragment_12	52.0	12.0	16.46	33.0	42.07000000000001	32.0	120.92							Sample_45_contig_3_fragment_12	38620.0	No		52.0	24.0	6.0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
Sample_22_contig_19	Sample_22_contig_19	11.0	6.0	2.14	6.0	6.44	6.0	11.98	Sample_22_contig_19||full	0.947	dsDNAphage	8.0	72.7	18.2	Sample_22_contig_19	7949.0	Yes	6542.0	11.0	7.0	3.0	Low-quality	Genome-fragment	18.35	AAI-based (high-confidence)	17.7	1.0	
Sample_11_contig_3_fragment_4	Sample_11_contig_3_fragment_4	49.0	14.0	29.33	36.0	60.18	36.0	162.17999999999998							Sample_11_contig_3_fragment_4	40564.0	Yes	33542.0	49.0	30.0	2.0	High-quality	High-quality	95.37	AAI-based (high-confidence)	17.31	1.0	
Sample_11_contig_3_fragment_6	Sample_11_contig_3_fragment_6	14.0	5.0	12.51	5.0	16.72	8.0	27.88000000000001							Sample_11_contig_3_fragment_6	11887.0	No		12.0	3.0	0.0	Low-quality	Genome-fragment	25.0	AAI-based (high-confidence)	0.0	1.0	
