annotation_dataset	contig	gene	start_position	end_position	strandedness	AMG	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags	AMG_gene_id	AMG_gene_description	AMG_category	AMG_header	AMG_subheader	AMG_module	ARAGORN_tRNA_count	ARAGORN_tRNA_species
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_1	1	1032	-		A	sxo:SXYL_01051		sxo:SXYL_01051  Phage integrase	True	0.943	680.0	3.294e-219	NP_835517.1	NP_835517.1 integrase [Staphylococcus phage phiN315]	False	0.412	244.0	2.194e-70								Phage integrase family [PF00589.25]			VOG00018	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0.0	1.0	5.0	False	VF								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_2	1091	1882	-		A	sxo:SXYL_01787		sxo:SXYL_01787  Uncharacterized protein	True	0.786	431.0	2.514e-134																				0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_3	1924	2388	-		C	saus:SA40_0758		saus:SA40_0758  hypothetical protein	False	0.671	204.0	9.348e-58														IrrE N-terminal-like domain [PF06114.16]			VOG00929	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_4	2395	2727	-		C	spas:STP1_1938		spas:STP1_1938  hypothetical protein	False	0.701	145.0	4.643e-38														Cro/C1-type HTH DNA-binding domain [PF13443.9]; Helix-turn-helix [PF01381.25]						0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_5	2878	3114	+		C	slg:SLGD_02284		slg:SLGD_02284  hypothetical protein	False	0.661	102.0	5.233e-24														Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]; Helix-turn-helix domain [PF12844.10]						0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_6	3128	3937	+		C	mcak:MCCS_16890		mcak:MCCS_16890  hypothetical protein	False	0.451	218.0	1.0669999999999999e-60	YP_009126511.1	YP_009126511.1 antirepressor protein [Lactobacillus phage Ldl1]	False	0.457	117.0	4.055e-28								BRO family, N-terminal domain [PF02498.20]			VOG00633	REFSEQ putative antirepressor; Xu	Xu	0.0	0.0	2.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_7	3949	4134	+		E																											0.0	2.0	1.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_8	4088	4291	-		E																											0.0	2.0	1.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_9	4349	4633	+		C	rst:ATY39_07030		rst:ATY39_07030  hypothetical protein	False	0.468	84.0	3.27e-17	NP_835529.1	NP_835529.1 hypothetical protein SA1799 [Staphylococcus phage phiN315]	False	0.36	60.0	6.914e-11								Domain of unknown function (DUF771) [PF05595.14]			VOG00384	REFSEQ DUF771 domain-containing protein; Xu	Xu	0.0	1.0	1.0	False	F								
DRAMv	Sample_10_contig_86_fragment_2	Sample_10_contig_86_fragment_2_10	4882	5136	+		C	snl:BJD96_10520		snl:BJD96_10520  hypothetical protein	False	0.817	134.0	9.452000000000001e-35														Hypothetical protein of unknown function (DUF2483) [PF10656.12]						0.0	1.0	1.0	False	F								
