sampleID	contig_count	contig_length_max	contig_length_total	contig_NL50	Completeness	Contamination	Strain heterogeneity	taxonomy_gtdb
Sample_1	5.0	1.392 MB	4.686 MB	2/1.365 MB	99.66	1.22	16.67	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__
Sample_2	8.0	3.883 MB	6.567 MB	1/3.883 MB	99.75	3.16	7.32	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio mediterranei
Sample_3	1.0	2.395 KB	0.002 MB	1/2.395 KB	0.0	0.0	0.0	
Sample_4	1.0	5.655 MB	5.655 MB	1/5.655 MB	99.57	1.05	14.29	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__
Sample_5	1.0	5.736 MB	5.736 MB	1/5.736 MB	99.65	1.32	5.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella terrigena
Sample_6	96.0	16.794 KB	0.450 MB	25/5.55 KB	2.63	0.0	0.0	
Sample_7	1.0	3.567 MB	3.567 MB	1/3.567 MB	99.49	0.42	0.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium barkeri
Sample_8								
Sample_9	1.0	4.452 MB	4.452 MB	1/4.452 MB	99.01	0.04	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas rhizophila_A
Sample_10	101.0	418.753 KB	4.545 MB	13/96.481 KB	99.44	3.66	0.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus
Sample_11	14.0	4.935 MB	5.347 MB	1/4.935 MB	99.69	4.58	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori
Sample_12	100.0	78.726 KB	2.664 MB	29/32.405 KB	33.46	5.51	58.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__
Sample_13	10.0	37.469 KB	0.220 MB	4/24.729 KB	0.0	0.0	0.0	
Sample_14	20.0	410.249 KB	3.330 MB	5/254.148 KB	65.29	0.34	0.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium foliorum
Sample_15								
Sample_16	1.0	4.935 MB	4.935 MB	1/4.935 MB	99.52	0.38	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori
Sample_17	1.0	4.884 MB	4.884 MB	1/4.884 MB	99.89	0.11	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia_AM
Sample_18	16.0	7.714 KB	0.048 MB	7/2.698 KB	0.0	0.0	0.0	
Sample_19	40.0	650.605 KB	4.827 MB	7/227.821 KB	96.96	0.53	20.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__
